# prefix,country_code,region_code,city,postal
77.91.66.0/24,DE,DE-HE,Frankfurt,60313
194.48.250.0/24,DE,DE-HE,Frankfurt,60313
193.23.216.0/24,DE,DE-HE,Frankfurt,60313
64.188.79.0/24,DE,DE-HE,Frankfurt,60313
64.188.83.0/24,DE,DE-HE,Frankfurt,60313
144.31.168.0/24,DE,DE-HE,Frankfurt,60313
144.31.176.0/24,DE,DE-HE,Frankfurt,60313
95.85.225.0/24,DE,DE-HE,Frankfurt,60313
95.85.226.0/24,DE,DE-HE,Frankfurt,60313
95.85.227.0/24,DE,DE-HE,Frankfurt,60313
95.85.252.0/24,DE,DE-HE,Frankfurt,60313
92.42.102.0/24,FI,FI-U,Helsinki,00380
176.125.254.0/24,FI,FI-U,Helsinki,00380
83.219.97.0/24,FI,FI-U,Helsinki,00380
87.251.16.0/24,FI,FI-U,Helsinki,00380
87.251.17.0/24,FI,FI-U,Helsinki,00380
64.188.76.0/24,FI,FI-U,Helsinki,00380
64.188.80.0/24,FI,FI-U,Helsinki,00380
144.31.169.0/24,FI,FI-U,Helsinki,00380
144.31.177.0/24,FI,FI-U,Helsinki,00380
95.85.247.0/24,FI,FI-U,Helsinki,00380
95.85.250.0/24,FI,FI-U,Helsinki,00380
95.85.251.0/24,FI,FI-U,Helsinki,00380
87.121.221.0/24,NL,NL-NH,Amsterdam,1101 AE
64.188.77.0/24,NL,NL-NH,Amsterdam,1101 AE
95.85.248.0/24,NL,NL-NH,Amsterdam,1101 AE
185.252.177.0/24,EE,EE-784,Tallinn,13415
87.121.86.0/24,EE,EE-784,Tallinn,13415
45.88.88.0/24,EE,EE-784,Tallinn,13415
87.251.19.0/24,EE,EE-784,Tallinn,13415
64.188.78.0/24,EE,EE-784,Tallinn,13415
64.188.82.0/24,EE,EE-784,Tallinn,13415
144.31.170.0/24,EE,EE-784,Tallinn,13415
144.31.178.0/24,EE,EE-784,Tallinn,13415
95.85.242.0/24,EE,EE-784,Tallinn,13415
95.85.243.0/24,EE,EE-784,Tallinn,13415
95.85.245.0/24,EE,EE-784,Tallinn,13415
77.239.126.0/24,EE,EE-784,Tallinn,13415
95.85.224.0/24,EE,EE-784,Tallinn,13415
95.85.228.0/24,EE,EE-784,Tallinn,13415
95.85.229.0/24,EE,EE-784,Tallinn,13415
95.85.249.0/24,EE,EE-784,Tallinn,13415
87.251.18.0/24,SE,SE-AB,Stockholm,16474
64.188.81.0/24,SE,SE-AB,Stockholm,16474
144.31.171.0/24,SE,SE-AB,Stockholm,16474
144.31.179.0/24,SE,SE-AB,Stockholm,16474
95.85.241.0/24,SE,SE-AB,Stockholm,16474
95.85.246.0/24,SE,SE-AB,Stockholm,16474
95.85.253.0/24,PL,PL-14,Warsaw,00-697
95.85.254.0/24,PL,PL-14,Warsaw,00-697
95.85.255.0/24,PL,PL-14,Warsaw,00-697
2a12:bec4:1480::/48,DE,DE-HE,Frankfurt,60313
2a09:54c6:5002::/48,DE,DE-HE,Frankfurt,60313
2a12:bec4:1c1::/48,DE,DE-HE,Frankfurt,60313
2a12:bec4:1c5::/48,DE,DE-HE,Frankfurt,60313
2a12:bec4:1481::/48,FI,FI-U,Helsinki,00380
2a09:54c6:5000::/48,FI,FI-U,Helsinki,00380
2a09:54c6:5001::/48,FI,FI-U,Helsinki,00380
2a12:bec4:1c2::/48,FI,FI-U,Helsinki,00380
2a12:bec4:1482::/48,NL,NL-NH,Amsterdam,1101 AE
2a12:bec4:1483::/48,EE,EE-784,Tallinn,13415
2a09:54c6:5003::/48,EE,EE-784,Tallinn,13415
2a12:bec4:1c3::/48,EE,EE-784,Tallinn,13415
2a12:bec4:1484::/48,SE,SE-AB,Stockholm,16474
2a09:54c6:5004::/48,SE,SE-AB,Stockholm,16474
2a12:bec4:1c3::/48,SE,SE-AB,Stockholm,16474
2a12:bec4:1485::/48,PL,PL-14,Warsaw,00-697
