# prefix,country_code,region_code,city,postal
77.91.66.0/24,DE,DE-HE,Frankfurt,60313
194.48.250.0/24,DE,DE-HE,Frankfurt,60313
193.23.216.0/24,DE,DE-HE,Frankfurt,60313
193.23.221.0/24,DE,DE-HE,Frankfurt,60313
64.188.79.0/24,DE,DE-HE,Frankfurt,60313
64.188.83.0/24,DE,DE-HE,Frankfurt,60313
92.42.102.0/24,FI,FI-U,Helsinki,00380
176.125.254.0/24,FI,FI-U,Helsinki,00380
83.219.97.0/24,FI,FI-U,Helsinki,00380
87.251.16.0/24,FI,FI-U,Helsinki,00380
87.251.17.0/24,FI,FI-U,Helsinki,00380
64.188.76.0/24,FI,FI-U,Helsinki,00380
64.188.80.0/24,FI,FI-U,Helsinki,00380
141.98.1.0/24,FI,FI-U,Helsinki,00380
87.121.221.0/24,NL,NL-NH,Amsterdam,1101 AE
87.251.18.0/24,NL,NL-NH,Amsterdam,1101 AE
64.188.77.0/24,NL,NL-NH,Amsterdam,1101 AE
64.188.81.0/24,NL,NL-NH,Amsterdam,1101 AE
185.252.177.0/24,EE,EE-784,Tallinn,13415
87.121.86.0/24,EE,EE-784,Tallinn,13415
45.88.88.0/24,EE,EE-784,Tallinn,13415
87.251.19.0/24,EE,EE-784,Tallinn,13415
64.188.78.0/24,EE,EE-784,Tallinn,13415
64.188.82.0/24,EE,EE-784,Tallinn,13415
